Index,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Finger1,Finger2,Finger3,Finger4,Finger5,Iteration,Gesture
151,9.55,-3.08,-0.07,-0.08,-0.17,-0.06,556.0,562.0,536.0,560.0,536.0,2,2
152,9.48,-3.15,0.05,0.05,-0.11,0.01,555.0,562.0,535.0,559.0,536.0,2,2
153,9.71,-3.27,0.5,-0.03,-0.18,-0.04,555.0,562.0,533.0,559.0,536.0,2,2
154,9.92,-3.09,-0.46,-0.0,-0.18,-0.06,554.0,561.0,532.0,558.0,536.0,2,2
155,10.48,-3.11,-0.68,0.1,0.08,0.11,555.0,561.0,533.0,558.0,536.0,2,2
156,9.6,-2.63,-0.19,0.17,0.27,0.15,554.0,561.0,533.0,558.0,536.0,2,2
157,10.94,-1.34,1.65,0.06,0.19,0.08,554.0,565.0,535.0,560.0,536.0,2,2
158,10.96,0.11,0.69,0.1,0.37,0.07,554.0,563.0,536.0,559.0,537.0,2,2
159,9.37,-3.08,0.41,-0.11,0.32,-0.14,554.0,564.0,537.0,559.0,537.0,2,2
160,9.09,-6.8,-0.89,-0.14,0.22,-0.16,554.0,563.0,537.0,559.0,536.0,2,2
161,5.93,-8.14,-1.07,0.41,0.77,0.34,553.0,563.0,536.0,560.0,535.0,2,2
162,6.83,-4.5,-0.13,0.04,0.01,0.3,553.0,564.0,536.0,560.0,536.0,2,2
163,11.82,-2.85,2.06,-0.09,-0.05,0.21,553.0,564.0,537.0,560.0,536.0,2,2
164,11.15,2.74,2.85,0.01,0.32,0.13,553.0,564.0,538.0,559.0,537.0,2,2
165,11.85,1.54,4.17,-0.15,-0.1,-0.15,555.0,565.0,538.0,560.0,537.0,2,2
166,10.44,-0.47,2.21,-0.41,-0.17,-0.43,554.0,565.0,538.0,560.0,537.0,2,2
167,9.46,-4.34,-1.09,-0.73,-0.28,-0.58,552.0,565.0,538.0,560.0,537.0,2,2
168,7.91,-9.34,-2.34,-0.42,0.04,-0.24,550.0,565.0,537.0,559.0,537.0,2,2
169,6.64,-9.02,-0.11,0.36,0.37,0.35,542.0,565.0,538.0,558.0,537.0,2,2
170,7.41,-6.47,-0.18,0.21,0.02,0.34,539.0,564.0,538.0,559.0,537.0,2,2
171,11.04,-3.64,2.08,0.06,-0.06,0.34,538.0,565.0,538.0,559.0,538.0,2,2
172,10.84,4.58,2.53,0.04,-0.17,0.11,540.0,566.0,540.0,559.0,538.0,2,2
173,9.72,2.77,4.51,0.1,0.01,-0.01,542.0,569.0,541.0,560.0,541.0,2,2
174,8.51,-0.72,3.34,-0.15,-0.28,-0.23,542.0,570.0,543.0,561.0,541.0,2,2
175,10.45,-5.52,-1.57,-0.62,-0.25,-0.35,545.0,570.0,542.0,562.0,540.0,2,2
176,9.77,-8.31,-1.29,-0.24,0.51,0.06,546.0,570.0,542.0,562.0,538.0,2,2
177,7.26,-7.43,-0.9,-0.07,0.16,0.17,545.0,571.0,543.0,561.0,538.0,2,2
178,6.93,-6.28,0.01,0.2,-0.25,0.14,546.0,571.0,543.0,561.0,540.0,2,2
179,10.12,-3.28,0.88,0.16,-0.07,0.31,546.0,571.0,544.0,563.0,539.0,2,2
